fecha;autor;tweet
2021-02-18 22:21:37;janovas_72;"@sandonaegui @LavinJoaquin @Muni_LasCondes @senado y su consuegro ""Filo-Filo -miguelo""?"
2021-02-18 22:19:55;0221pall;"@tatipennab @Muni_LasCondes @LavinJoaquin Tati!
   Que asco,wuacala!
Pero mejor terminar con esos 🐀🐀🐀🐀"
2021-02-18 22:19:06;venus_2121;@GitanoChileno @AWEONITA @nancho68 @PcLasCondes @LavinJoaquin @Muni_LasCondes @EPInforma @amacasqui @cotecotilla… https://t.co/RGmADQBy7F
2021-02-18 22:18:42;MiguelG24850391;@jschaulsohn @jaimebellolio @manuel_mayne_s @LavinJoaquin @voceriagobierno Dn Jorge y la Sra Bachelet nunca lo hizo… https://t.co/BevVoRqoRK
2021-02-18 22:18:10;GitanoChileno;@venus_2121 @AWEONITA @nancho68 @PcLasCondes @LavinJoaquin @Muni_LasCondes @EPInforma @amacasqui @cotecotilla… https://t.co/rfjlvykSBF
2021-02-18 22:17:12;ptorrealbam;@jschaulsohn @jaimebellolio @manuel_mayne_s @LavinJoaquin @voceriagobierno Aló? Con la policía gramatical? Quiero d… https://t.co/NKgjneMGll
2021-02-18 22:17:06;desadaptao;@sandonaegui @LavinJoaquin @Muni_LasCondes @senado Lavín es el típico mafioso con cara de no hacer nada o como en b… https://t.co/psfs5c7LId
2021-02-18 22:14:56;lidia_gajardo;@tatipennab @Muni_LasCondes @LavinJoaquin Q asco
2021-02-18 22:14:11;LC_construccion;@LavinJoaquin @cgcastrolizana Hola Carmen Gloria! Se realizó recambio de tapas de servicio en mal estado. Saludos! https://t.co/z4t4M9yRDc
2021-02-18 22:13:46;venus_2121;@GitanoChileno @AWEONITA @nancho68 @PcLasCondes @LavinJoaquin @Muni_LasCondes @EPInforma @amacasqui @cotecotilla… https://t.co/BLvRMzptdF
2021-02-18 22:06:06;MarySanguino4;@LavinJoaquin @PcLasCondes @Muni_LasCondes @EPInforma @amacasqui @cotecotilla @ChileLibre4 @Concejal_DiegoG… https://t.co/K1p2L6C0PV
2021-02-18 22:05:17;tinellimk;@LavinJoaquin Ups
2021-02-18 22:01:22;AguedaMonaster1;"🔊Difundir @LavinJoaquin se mete a las casas sin autorización para borrar nuestro mural!!
#LavinDelincuente https://t.co/79QbLeQovH"
2021-02-18 21:59:34;CmayerCrismayer;@LavinJoaquin https://t.co/Rfu1r9n8Ey
2021-02-18 21:57:48;Claudio_Arenas;@ArturoR00446420 @TheCorpis @LavinJoaquin Sería bueno que nos aclarará el mismo alcalde @LavinJoaquin
2021-02-18 21:57:35;nano1_cl;El #Perseverance ya mandó las primeras fotos de @LavinJoaquin desde Marte?
2021-02-18 21:53:55;Absonito1;@LavinJoaquin @PcLasCondes @Muni_LasCondes @EPInforma @amacasqui @cotecotilla @ChileLibre4 @Concejal_DiegoG… https://t.co/CeGyDpvwMC
2021-02-18 21:53:41;AguedaMonaster1;@LavinJoaquin @PcLasCondes @Muni_LasCondes @EPInforma @amacasqui @cotecotilla @ChileLibre4 @Concejal_DiegoG… https://t.co/pkeglxLmUB
2021-02-18 21:53:21;ArturoR00446420;@Claudio_Arenas @TheCorpis @LavinJoaquin No son medio de prueba, solo buscan y además ya no los usan... al menos ya no se ven...
2021-02-18 21:53:06;PafitaYanez;@AWEONITA @nancho68 @PcLasCondes @LavinJoaquin @Muni_LasCondes @EPInforma @amacasqui @cotecotilla @ChileLibre4… https://t.co/Us6tbAMskf
2021-02-18 21:52:18;venus_2121;@PafitaYanez @AWEONITA @nancho68 @PcLasCondes @LavinJoaquin @Muni_LasCondes @EPInforma @amacasqui @cotecotilla… https://t.co/DtoxhLSdMT
2021-02-18 21:51:06;PafitaYanez;@AWEONITA @venus_2121 @nancho68 @PcLasCondes @LavinJoaquin @Muni_LasCondes @EPInforma @amacasqui @cotecotilla… https://t.co/epvQPkzGx1
2021-02-18 21:48:43;allthuser;@jschaulsohn @jaimebellolio @manuel_mayne_s @LavinJoaquin @voceriagobierno no exageres , es una conversación obvia,… https://t.co/eZARNsgUKu
2021-02-18 21:42:57;jschaulsohn;@jaimebellolio @manuel_mayne_s @LavinJoaquin @voceriagobierno Ministro de Estado habriéndole camino a un presidenci… https://t.co/GSz2wEz4eK
2021-02-18 21:40:54;sofiaret;@tatipennab @Muni_LasCondes @LavinJoaquin No porfa no corten árboles
2021-02-18 21:37:01;Claudio_Arenas;@TheCorpis Y como lo hizo @LavinJoaquin en Las Condes ?
2021-02-18 21:37:01;sergioglp422;@germainsoto @LavinJoaquin Yapo, quédese callado mejor... payaso
2021-02-18 21:36:25;Jorgese04691711;Hoy conversando con un amigo,me comenta que igual tendrá que pagar el permiso de circulacion en marzo. los parlamen… https://t.co/Z90NjMnGfl
2021-02-18 21:35:37;Trovich5;@danieljadue cc @evelynmatthei , @alvarez_monse , supernumerario Caballo de Troya Opus Dei @LavinJoaquin
2021-02-18 21:32:38;El_Rodriguito;@LavinJoaquin @LC_seguridad @PDI_CHILE con tanto inspector y tanto recurso, podria fiscalizar eso, los delincuentes… https://t.co/vQVpK2l7dZ
2021-02-18 21:32:07;bmedinaespinosa;@CorpLasCondes @LavinJoaquin Muchas gracias por tan pronto respuesta. Esperaremos su llamado entonces. Saludos!
2021-02-18 21:29:51;El_Rodriguito;"@LavinJoaquin @LC_seguridad ¿de que sirve tener porticos lectores de patentes si andan autos sin ppu?

El otro dia… https://t.co/yifohA4FFg"
2021-02-18 21:29:08;josiecatdoll;@tatipennab @Muni_LasCondes @LavinJoaquin Y que tienen que ver los árboles?!
2021-02-18 21:27:21;AWEONITA;@venus_2121 @nancho68 @PcLasCondes @LavinJoaquin @Muni_LasCondes @EPInforma @amacasqui @cotecotilla @ChileLibre4… https://t.co/pzeZ0upJZB
2021-02-18 21:26:38;el0nda;@tatipennab @Muni_LasCondes @LavinJoaquin Noooo, cómo puede decir cortar árboles?! Si es lo que más sirve tener en… https://t.co/3XAjaYCE28
2021-02-18 21:26:23;cayoya2006;@tatipennab @Muni_LasCondes @LavinJoaquin Pero no arrancarlos por fis 🙏🏻
2021-02-18 21:24:05;AVECES_NI_UNO;@monserratrisco @LavinJoaquin Siempre han llegado alumnos de diversas comunas de la RM a los colegios mas important… https://t.co/72rGJOGF4r
2021-02-18 21:22:39;tiagobiskupovic;@jmjarry Con parte de la Vanguardia en cana @LavinJoaquin tiene que hacer el trabajo sucio el mismo
2021-02-18 21:18:45;amacasqui;@LavinJoaquin @PcLasCondes @Muni_LasCondes @EPInforma @cotecotilla @ChileLibre4 @Concejal_DiegoG @JJCC_Capital… https://t.co/P3BDbEuYnH
2021-02-18 21:17:24;MatayaNatalia;@tatipennab @Muni_LasCondes @LavinJoaquin Q horror!! Pero que culpa tienen los árboles...
2021-02-18 21:14:58;vesnadeza;@tatipennab @Muni_LasCondes @LavinJoaquin Nooooooooo
2021-02-18 21:14:14;CmayerCrismayer;@LavinJoaquin @LC_seguridad @jbenitezgibbons Aprovechando, te hago una pregunta, esta bien que el SEK, exija que TO… https://t.co/usrcxWY5z0
2021-02-18 21:12:18;venus_2121;@AWEONITA @nancho68 @PcLasCondes @LavinJoaquin @Muni_LasCondes @EPInforma @amacasqui @cotecotilla @ChileLibre4… https://t.co/NIB7MUN7la
2021-02-18 21:11:20;JasonVo09797630;@tatipennab @Muni_LasCondes @LavinJoaquin la ciudad esta llena de ratones solo que nos los vemos
2021-02-18 21:11:06;ZunigaSepu;@LavinJoaquin @PcLasCondes @Muni_LasCondes @EPInforma @amacasqui @cotecotilla @ChileLibre4 @Concejal_DiegoG… https://t.co/M2mHck2G14
2021-02-18 21:10:37;AWEONITA;@nancho68 @PcLasCondes @LavinJoaquin @Muni_LasCondes @EPInforma @amacasqui @cotecotilla @ChileLibre4… https://t.co/bAhilOeFjH
2021-02-18 21:10:19;liznorthon;@tatipennab @Muni_LasCondes @LavinJoaquin Me puede dar un ataque de algo
2021-02-18 21:06:50;ChiniRegalona;@CorpLasCondes @LavinJoaquin @Muni_LasCondes Gracias!!
2021-02-18 21:06:23;Chile_Alerta;@PcLasCondes @LavinJoaquin @Muni_LasCondes @EPInforma @amacasqui @cotecotilla @ChileLibre4 @Concejal_DiegoG… https://t.co/tfsuzmCUmC
