fecha;autor;tweet
2021-02-17 15:27:59;Onfray;@catralapulido @carreragonzalo Donde puedo revisar tu programa cultural??
2021-02-17 15:27:58;baironparedez99;"@catralapulido @carreragonzalo Necesitamos ing civiles en esos cargos gente que vea numeros y preparada.

 no human… https://t.co/ykTSMCyRso"
2021-02-17 15:27:42;fena1968;@catralapulido @carreragonzalo Ningun brillo...
2021-02-17 15:26:29;carlosmella;@catralapulido @carreragonzalo https://t.co/OuTBAm6Ycd tu hijo iría como asesor de deportes?
2021-02-17 15:26:17;m00nniii;@catralapulido @carreragonzalo Y tú sabes de cultura?
2021-02-17 15:25:50;ValeAriasS7;"@LavinJoaquin esta es una buena idea para la integración. 

@catalinaparot @carolinacotapos @LC_Decom… https://t.co/lFteGpQd68"
2021-02-17 15:21:02;catralapulido;#teimaginas #+cultura #pulidoconcejal Queremos ser una comuna 4.0 para ejemplar y solidariamente rescatar nuestro C… https://t.co/9BVG4eOi5k
2021-02-17 15:19:14;Fernand78019134;@carreragonzalo @catralapulido Un debate para diferenciar entre twiter y google?.
2021-02-17 15:16:41;malopezo;@carreragonzalo y @melnicksergio,  cuenten con mi voto, estoy seguro que con el de miles de otros Chilenos patriota… https://t.co/940QM2xYTq
2021-02-17 15:14:05;juanbic13;Sergio, mi voto lo tienes sin dudas, el de @carreragonzalo  está en veremos, no hay otro, pero en veremos. Hace uno… https://t.co/Vav0jUzLTk
2021-02-17 15:13:19;cesanteyque;"@Pichu350 @carreragonzalo Nooooo!
Chao!"
2021-02-17 15:13:08;rodrigo40492673;@carreragonzalo @catralapulido Cuando empieza a construir el muro?
2021-02-17 15:11:22;rechazo_ctm;@solo_gemma @melnicksergio @claudiobadulaqe @TERE_LAprofe73 @Naty_Patriota @andyneuit @sergioulloa1 @carreragonzalo… https://t.co/3JVTwWJoug
2021-02-17 15:03:31;ONomuty;@joseantoniokast @Mata_Moscas2  @nicolaevna @Sr_Churchill @DraMLCordero @LaReina_Mayor @carreragonzalo… https://t.co/aWvXXIT2vZ
2021-02-17 15:02:44;Pichu350;"#NuevaFotoDePerfil 
Nooooo .No más de lo mismo. @carreragonzalo es mi Alcalde para Las Condes. https://t.co/SvLNRklbiR"
2021-02-17 15:01:50;kim3_3e;@RaggioJorge @carreragonzalo @melnicksergio @joseantoniokast Que mal, deberías darte cuenta quienes son los únicos… https://t.co/lUUEWEX5pN
