fecha;autor;tweet
2021-02-18 23:06:28;Valezka_Bravo;@_hijademinero @danieljadue 🤣🤣🤣🤣🤣🤣
2021-02-18 23:05:44;memo5fire;@_Nunc_et_Semper @Cperezcarvallo @Marceloleiva @baradit @BSepulvedaHales @jeannette_jara @danieljadue @mtamayor Que te pasa MRK qla
2021-02-18 23:05:14;jetubur;@arqmneira @Cperezcarvallo @baradit @BSepulvedaHales @jeannette_jara @danieljadue @mtamayor @Carabdechile ASPIRANTES
2021-02-18 23:05:13;IturriagaRomina;@jotagato30 @danieljadue @lcch Infórmese usted señor antes de dar alguna opinion, ayer el alcalde declaró lo siguie… https://t.co/6DC10xkrj0
2021-02-18 23:03:30;Maximil84438387;@Icarus3012 @latercera @danieljadue es masón?
2021-02-18 23:02:23;ednobe67;@danieljadue El comunismo nunca a existido, después de la muerte de Lenin, Stalin se autoimpone, a la cabeza del PC… https://t.co/6yShupU86m
2021-02-18 23:02:19;jgarridosalas;@MargaritaYolan1 @danieljadue Yo estoy en las mismas trabajare en mi comuna silenciosamente
2021-02-18 23:02:16;lrebolledoch;@danieljadue Ratas, siempre han sido ratas.
2021-02-18 23:02:05;maceried;Uno que cuida de su comuna y defiende los beneficios de su gente 👏👏👏👏😊 https://t.co/lIcBjrIC15
2021-02-18 23:01:43;AndreaV74487586;@danieljadue 👏👏👏👏👏👏👏👏👏👏👏👏
2021-02-18 23:00:18;igncioandress;@danieljadue 👏🏻👏🏻👏🏻👏🏻
2021-02-18 23:00:12;Deuman_Energia;@danieljadue #Jadue y cuando Sabremos los Resultados del Estudio Clínico y resultados de los efectos generados en L… https://t.co/rFV5nL1bKk
2021-02-18 23:00:10;ShahdeIran;@cgonzalezrothen @danieljadue @nfacuse Y varios más: @pablovidalrojas , @Pajarobere , @nico_grau , @doctor911_cl
2021-02-18 22:59:37;zaspiak;@danieljadue @Viviluc2 *nada*
2021-02-18 22:59:26;MigrantesXJadue;@danieljadue 👏🏾👏🏾👏🏾
2021-02-18 22:59:13;mrbuenaonda;@danieljadue Sr jadue : En la Araucania, HAY TERRORISMO. Consigase unos lentes en su optica comunal !!!!!!!!!!!!
2021-02-18 22:58:56;zaspiak;@danieljadue @Viviluc2 Quien nada hace nafa teme alcalde.
2021-02-18 22:58:17;mixgo7;@danieljadue Eres la luz de esperanza...
2021-02-18 22:57:28;AlexisA61194411;@danieljadue Felicitaciones. Que el remedio sea un exito y salve a muchos chilenos.
2021-02-18 22:56:40;mrbuenaonda;@danieljadue El DOGMATICO Jadue !!!!!!!!!!!!!
2021-02-18 22:56:31;ro_maxito;@LaVane1979 @bacigalupe @danieljadue exacto! nadie podría decir que fuimos engañados, el tipo quiere echar mano al… https://t.co/IcNENjX6qQ
